"id","text","sentiment"
1,"@conservmillen So I guess aoc will want even easier conditions for our finest citizens.",NA
2,"RT @lindyli: The Senate went on break

While Ted Cruz & Josh Hawley continue to block Biden’s national security nominees for no good reason…",NA
3,"RT @ifindkarma: “There are no consequences in the Republican caucus for violence. No consequences for racism. No consequences for misogyny.…",NA
4,"RT @FrankAmari2: @tedcruz There are rumors that Ted's wife was absolutely livid:

""The Time Ted Cruz Defended a Ban on Dildos."" https://t.c…",NA
5,"@Rawaha__ Ultra wide or dual monitors tbh - I run 2x Aoc 24g2u with a double monitor arm",NA
6,"RT @jslowe1949: Remember they have hired their own security teams to protect them.

Rashida Tlaib, AOC demand criminal reforms day after Wa…",NA
7,"AOC calls out the 'enormous' amount of executive power Biden could have on student debt, climate change, and immigration while she's watching him 'hand the pen to Joe Manchin and Kyrsten Sinema' https://t.co/u2BdT0vHrh via @Yahoo",NA
8,"@AOC @GOPLeader You want to let these people out of jail. https://t.co/NybUGNSNye",NA
9,"AOC: ""What I believe is unprecedented is for a member of House leadership of either party to be unable to condemn incitement of violence against a member of this body ... what is so hard about saying that this is wrong?"" https://t.co/99Gavn8a34",NA
10,"@BrooklynBorn39 @laurenboebert Awe another little tiny trumpturd that hates AOC. You know what that means to me? She's doing a fvcking awesome job. But yeah I'm sure the high school dropout is more your speed. 😉",NA
11,"RT @KellDA: Hey Republicans-where oh where are your Ted (Cruz) Talks about CRT? Poof! Disappeared from the narrative as soon as Youngkin wa…",NA
12,"Democrat tears into AOC, radical dems on past bail reform comments following Waukesha tragedy

https://t.co/4UpFMotHR5
::Lookalike angry chihuahuas 👺",NA
13,"@aoc
@maddow
@TheView
@RashidaTlaib
@SpeakerPelosi
@SenSchumer
@AyannaPressley

""Everyone on the far left now WOKE???...""

""Suspect charged with five counts of intentional homicide over deadly Waukesha Christmas parade crash""  https://t.co/HP8vfTpH58",NA
14,"RT @WeThePeople021: Do you think AOC was a test by Democrats to see if they could get a moron elected? https://t.co/FGJSaXgisS",NA
15,"RT @RonJFlemming: @chicagosmayor @CoryBooker @Oprah @BilldeBlasio @MikeBloomberg @SpeakerPelosi @MichelleObama @washingtonpost @GavinNewsom…",NA
16,"Ted Cruz’s Latest Cancun 'Joke' Goes Down Like All The Rest #SmartNews  https://t.co/xI3uXjUqpu",NA
17,"@MrTamhas @csmpking1 @thehill He RTs Ted Cruz…nuff said",NA
18,"@TTerlcal @GeorgePapa19 You hear this
TLAIB
AOC",NA
19,"@dave_mishler @MrEmazing @AOC Black on black gun kills in Chicago suburbs rarely qualify as ""citizens arrest with a legally acquired gun"".

But you felt the need to use that example, I guess I missed something...",NA
20,"Dear AOC,

Are you attending your friends hearing right now? https://t.co/DYojMJheNR",NA
21,"RT @lindyli: The Senate went on break

While Ted Cruz & Josh Hawley continue to block Biden’s national security nominees for no good reason…",NA
22,"SWAC AOC-in-Chief Air Marshal Vikram Singh visits Air Force Station Vadodara https://t.co/DF9MDf2Wbt @IAF_MCC @DefencePRO_Guj",NA
23,"RT @MattNegrin: Never forget this shit",NA
24,"AOC will set him free she will pay his bail",NA
25,"@LeoOD3 @DJulio70 @goodblackdude All long before the demand to forgive all car loans comes from AOC and the squad?",NA
26,"Behind the scenes vid showing socialist congresswoman @AOC getting dressed for the Gala by a room of masked staff. The politician wore a “tax the rich” dress. The dress’s designer was revealed to owe tens of thousands in business taxes in multiple states. https://t.co/tVoP2uPC2E",NA
27,"RT @TrishForTrump: Individuals with Radical Mentalities Like this Need to GTFO of Our Congress NOW!

Just Keep Talking AOC & Rashida!
Your…",NA
28,"RT @ProjectLincoln: Lying Ted.",NA
29,"RT @The_FJC: Liberals are so stupid... They can't even do simple math... For example, they want to have all the prisoners released in 10 ye…",NA
30,"RT @AvengerResister: Don’t forget while Ted Cruz was in Cancun looking for warm weather. Alexandria Ocasio-Cortez and Beto O’Rourke raised…",NA
31,"RT @CalltoActivism: BREAKING - AOC calls for the EXPULSION of all lawmakers involved in the January 6 riot.

RT IF YOU ARE WITH @AOC! https…",NA
32,"RT @mdnij34: “Trump broke Ted Cruz,” Cheney replied. “A real man would be defending his wife, and his father, and the Constitution.”",NA
33,"@mingo_sierra @kool_kat_2 @boom7767 @AOC @GOPLeader Shoulda used flags with the hammer and sicle.",NA
34,"CBS News' @margbrennan reacts to Sen. Ted Cruz (R-TX) pushing the Big Lie: 

""Senator, there is no evidence of fraud that would have really drawn the outcome of the election into doubt. You know that."" https://t.co/1KGAEhFN5E",NA
35,"RT @HotspawnEsports: Giveaway Alert 🚨
Hotspawn has teamed up with @AOC_Gaming to giveaway an amazing gear bundle, which includes an ultra-w…",NA
36,"RT @lindyli: The Senate went on break

While Ted Cruz & Josh Hawley continue to block Biden’s national security nominees for no good reason…",NA
37,"RT @TrishForTrump: @Elenaforever13 AOC likes to dish it out but can’t take it when anyone comes back at her! 
She runs to the nearest camer…",NA
38,"BREAKING: @GeraldoRivera just risked his job at FOX by saying @AOC ""outshines every other member of Congress in eloquence and passionate sincerity.""

Who agrees? 🖐️ https://t.co/3mBLwLiavp",NA
39,"More than 'for NEGLIGENCE,' don't YOU think?
""These elected officials should be arrested for negligence. They are responsible for caring more about the criminals than they care about the civilians, than they care about you, me, and everyone else."" https://t.co/Okd3VPItoa #FoxNews",NA
40,"RT @donwinslow: .@January6thCmte 

Have not received subpoena Pt 1:

1 Donald Trump
2 Bill Barr
3 Mark Meadows
4 Ted Cruz
5 Josh Hawley
6 M…",NA
