"id","text"
1,"guess aoc easier conditions finest citizens"
2,"senate break ted cruz josh hawley continue block bidens national security nominees reason"
3,"consequences republican caucus violence consequences racism consequences misogyny"
4,"rumors teds wife absolutely livid time ted cruz defended ban dildos httpst"
5,"ultra wide dual monitors tbh run aoc gu double monitor arm"
6,"remember hired security teams protect rashida tlaib aoc demand criminal reforms day wa"
7,"aoc calls enormous amount executive power biden student debt climate change immigration shes watching hand pen joe manchin kyrsten sinema"
8,"people jail"
9,"aoc unprecedented house leadership party unable condemn incitement violence body hard wrong"
10,"awe tiny trumpturd hates aoc means shes fvcking awesome job yeah im school dropout speed"
11,"hey republicanswhere ted cruz talks crt poof disappeared narrative youngkin wa"
12,"democrat tears aoc radical dems past bail reform comments waukesha tragedy lookalike angry chihuahuas"
13,"left woke suspect charged counts intentional homicide deadly waukesha christmas parade crash"
14,"aoc test democrats moron elected"
15,NA
16,"ted cruzs cancun joke rest"
17,"rts ted cruznuff"
18,"hear tlaib aoc"
19,"black black gun kills chicago suburbs rarely qualify citizens arrest legally acquired gun guess missed"
20,"dear aoc attending friends hearing"
21,"senate break ted cruz josh hawley continue block bidens national security nominees reason"
22,"swac aocinchief air marshal vikram singh visits air force station vadodara"
23,"forget shit"
24,"aoc set free pay bail"
25,"demand forgive car loans aoc squad"
26,"scenes vid socialist congresswoman dressed gala masked staff politician wore tax rich dress dresss designer revealed owe tens thousands business taxes multiple"
27,"individuals radical mentalities gtfo congress talking aoc rashida"
28,"lying ted"
29,"liberals stupid simple math prisoners released ye"
30,"dont forget ted cruz cancun warm weather alexandria ocasiocortez beto orourke raised"
31,"breaking aoc calls expulsion lawmakers involved january riot rt https"
32,"trump broke ted cruz cheney replied real defending wife father constitution"
33,"shoulda flags hammer sicle"
34,"cbs news reacts sen ted cruz rtx pushing lie senator evidence fraud drawn outcome election doubt"
35,"giveaway alert hotspawn teamed giveaway amazing gear bundle includes ultraw"
36,"senate break ted cruz josh hawley continue block bidens national security nominees reason"
37,"aoc likes dish runs nearest camer"
38,"breaking risked job fox outshines congress eloquence passionate sincerity agrees"
39,"negligence dont elected officials arrested negligence responsible caring criminals care civilians care"
40,"received subpoena pt donald trump bill barr mark meadows ted cruz josh hawley"
41,"breaking aoc addresses kevin mccarthys nowinfamously speech opposing build bill ive talked lot rt agree aoc"
42,"aoc decided time tweet attack waukesha christmas parade"
43,"doom told guys pac beholden ruined dc aoc didnt gotta"
44,"dems push alternatives means eating bugs elites eat cars replaced electrical eventually mass transportation dont read follow aoc ilk plan"
45,"holy shit demonic sociopath guy bail mowed bunch women children"
46,"people priorities ted cruz"
47,"aoc calls republican reps marjorie taylor greene paul gosar neonazis"
48,"forget shit"
49,"ive figured people hate beto politicians nikki hailey ted cruz people expect assimilation white culture son benito lived border dont"
50,"demsamerica inflation yrs illegal immigrants immigrantsbbbb mass looting ca aoc bail ny fentanyl deaths govt mandates weapons taliban gas ideological indoctrination"
51,"run crisis aoc people run cancun ted cruz ted cruz wont"
52,"president trump enemies media enemy hate uu hate apologies eternity desks broadcasting media war united boston ma"
53,"senate break ted cruz josh hawley continue block bidens national security nominees reason"
54,"breaking kathy griffin reveals investigated secret service attorney nofly list"
55,"ted cruz representative gosars footsteps posted picture bird thanksgiving table paul gosar censured step retire ted cruz"
56,"raise hand ted cruz pathetic coward"
57,"day plz lawsuit dismissed bc legal fallout pull western dist mich cv"
58,"hey im smarting ted cruz zodiac killer unfair zodiac killer damn calling ted ol zodiac feels"
59,"liberals stupid simple math prisoners released ye"
60,"jim jordan lauren boebert marjorie names mo brooks madison cawthorn paul gosar josh hawley"
61,"shouldnt tweeting"
62,"senate break ted cruz josh hawley continue block bidens national security nominees reason"
63,"democrat tears aoc radical dems past bail reform comments waukesha tragedy"
64,NA
65,"dont videos aoc busy pegged crystals pyscho bitch"
66,"trisha anjali idiotic watch cnn combined iq aoc"
67,"ted cruz stands falls"
